web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1548238462-3279","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@Reuters","Reuters Top News","Brazil's tangled tax system, complicated logistics and testy relations slows Amazon's push into its promising market https://reut.rs/2QbqBt1  by @G_Slattery @bi_mello $AMZN pic.twitter.com/vbMtwjKn4J","19","17","26","1541054583000","11:43 PM - 31 Oct 2018","/Reuters/status/1057885712371060736"
"1548238462-3092","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@UTR_INFO","UTR Equities #UTR","Some action in the #UTR room today. Mainly $AMZN $SPY $ARNC $QCOM $NIO $QQQ $IWM $AAPL $FB $NFLX #OPTIONS

@_ms_izzy with a great QCOM call & @AsshatTrading all over $AMZN w/the fellow Amazoners. ;) Nice teamwork!
Join the fam and up your game with us! —> https://www.utrequities.com pic.twitter.com/UDFEclvgVq","2","4","12","1543526362000","1:19 PM - 29 Nov 2018","/UTR_INFO/status/1068253106998337536"
"1548238462-3379","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@StockTwits","StockTwits","Do you think $AMZN will ever buy $SNAP? 

They both report this Thursday after the bell.https://stocktwits.com/teambanana/message/142095601 …","23","14","39","1540139936000","9:38 AM - 21 Oct 2018","/StockTwits/status/1054049405161103361"
"1548238462-2919","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@TJReazor","Timothy Reazor","This headline is a really big deal... #China #Trump $V $MA $AXP $AMZN $NFLXpic.twitter.com/O29UZgz9Bz","1","6","16","1546129213000","4:20 PM - 29 Dec 2018","/TJReazor/status/1079170255740645376"
"1548238462-3249","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@TDANetwork","TD Ameritrade Network","$ROKU (currently ~$58 / share) is set to release #earnings after the bell today. The #options market is pricing in an anticipated move of ~$8.20.

So, the #FastMarket team turned to social media for add'l insights on what could be ahead for Roku. 

 $ROKU $AMZN $GOOGL $NFLXpic.twitter.com/HmxtscppQp","1","7","13","1541614832000","10:20 AM - 7 Nov 2018","/TDANetwork/status/1060235567881809920"
"1548238462-2597","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@fildo_uno","fildo","$amzn ascending triangle (purple lines) into trendline resistance (orange line).. 

or we're between head/right shoulder of inverse head n shoulders.. which means downside coming soon

curious what tuesday will bring (monday closed for mlk day) pic.twitter.com/dIypIobTz8","1","1","2","1547834085000","9:54 AM - 18 Jan 2019","/fildo_uno/status/1086321005633699841"
"1548238462-2568","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@RockSolidTrader","Eric","We totally killed $AMZN today +43 Points alone! That’s what’s up!  #BOOM #RampUpTrading https://twitter.com/rampeddaytrader/status/1087779312961490949 …","","","17","1548181885000","10:31 AM - 22 Jan 2019","/RockSolidTrader/status/1087779784841707521"
"1548238462-3216","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@MindMakesMatter","M³","If we can get $AMZN $BA and $AAPL 200 reclaims all today that would change the picture drastically","1","4","29","1542125271000","8:07 AM - 13 Nov 2018","/MindMakesMatter/status/1062376504095662080"
"1548238462-3322","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@charliebilello","Charlie Bilello","Amazon Revenue (Billions)...
2018 (est): 233
2017: 178
2016: 136
2015: 107
2014: 89
2013: 74
2012: 61
2011: 48
2010: 34
2009: 25
2008: 19
2007: 15
2006: 11
2005: 8.5
2004: 6.9
2003: 5.3
2002: 3.9
2001: 3.1
2000: 2.8
1999: 1.6
1998: 0.61
1997: 0.15
$AMZN","11","106","280","1540523463000","8:11 PM - 25 Oct 2018","/charliebilello/status/1055658036914733056"
"1548238462-3362","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@option_snipper","Option_Sniper","something dramatic just happened today if you didn't notice it. $amzn breaking down 1700 before ER. $googl breaking down 1100. $nflx almost dropping to 300. $fb breaking down 150. these all are phenomenal numbers - tells the status quo of bull/bear's psychology","15","15","147","1540410588000","12:49 PM - 24 Oct 2018","/option_snipper/status/1055184601973473282"
